_index,record_id,state_name,district_code,enumerator_id,respondent_age,emp_status,weekly_hours,monthly_income,risk_score,risk_level,has_rule_violation,has_ml_anomaly,has_enum_bias,violation_count,review_status,review_comment
0,101,Tamil Nadu,Erode,E01,28,Employed,40,25000,0,Low,False,False,False,0,APPROVED,Verified by Chief Field Officer
1,102,Tamil Nadu,Erode,E01,35,Employed,48,32000,0,Low,False,False,False,0,NEW,
2,103,Tamil Nadu,Salem,E02,14,Employed,45,8000,0,Low,False,False,False,0,NEW,
3,104,Tamil Nadu,Salem,E02,42,Unemployed,0,0,0,Low,False,False,False,0,NEW,
4,105,Tamil Nadu,Coimbatore,E03,50,Employed,120,120000,85,High,True,True,False,2,NEW,
5,106,Tamil Nadu,Coimbatore,E03,19,Student,0,0,15,Low,False,False,False,0,NEW,
6,107,Kerala,Kochi,E04,31,Employed,38,28000,15,Low,False,False,False,0,NEW,
7,108,Kerala,Kochi,E04,62,Retired,0,15000,50,Medium,False,True,False,0,NEW,
8,109,Kerala,Kollam,E05,45,Employed,42,30000,0,Low,False,False,False,0,NEW,
9,110,Kerala,Kollam,E05,29,Employed,50,31000,0,Low,False,False,False,0,NEW,
10,111,Kerala,Kannur,E01,38,Employed,40,29000,0,Low,False,False,False,0,NEW,
11,112,Kerala,Kannur,E01,55,Employed,44,35000,0,Low,False,False,False,0,NEW,
